product_code,size_value,color_value,option_name
01P0000171711,소,기타,기타/소
01P0000171712,하프,기타,기타/하프
01P0000171719,중,기타,기타/중
01P0000171721,대,기타,기타/대
01P0000171738,소,기타,기타/소
01P0000171739,하프,기타,기타/하프
01P0000171740,대,기타,기타/대
01P0000171741,중,기타,기타/중
01P0000174948,소,기타,기타/소
01P0000175700,Free,화이트,화이트/Free
01P0000175703,Free,화이트,화이트/Free
01P0000176406,FR,기타,기타/FR
01P0000181743,FR,기타,기타/FR
01P0000181816,FR,기타,기타/FR
01P0000181818,FR,기타,기타/FR
01P0000181822,FR,기타,기타/FR
01P0000185534,L,기타,기타/L
01P0000185535,S,기타,기타/S
01P0000185544,M,기타,기타/M
01P0000185580,FR,기타,기타/FR
01P0000185586,FR,기타,기타/FR
01P0000185602,FR,기타,기타/FR
01P0000187251,Free,화이트,화이트/Free
01P0000187669,Free,화이트,화이트/Free
01P0000188498,FR,기타,기타/FR
01P0000194151,FR,화이트,화이트/FR
01P0000194154,FR,그레이,그레이/FR
01P0000194154,FR,화이트,화이트/FR
01P0000194566,대,베이지,베이지/대
01P0000194579,FR,기타,기타/FR
01P0000194582,FR,기타,기타/FR
01P0000195925,FR,그레이,그레이/FR
01P0000196632,FR,기타,기타/FR
01P0000201230,FR,기타,기타/FR
01P0000205033,FR,기타,기타/FR
01P0000206275,Free,크림,크림/Free
01P0000206276,Free,크림,크림/Free
01P0000206279,Free,화이트,화이트/Free
01P0000206280,Free,베이지,베이지/Free
01P0000206284,Free,화이트,화이트/Free
01P0000207040,Free,화이트,화이트/Free
01P0000207102,Free,화이트,화이트/Free
01P0000207104,Free,화이트,화이트/Free
01P0000207106,Free,화이트,화이트/Free
01P0000207110,Free,화이트,화이트/Free
01P0000207122,Free,화이트,화이트/Free
01P0000207124,Free,화이트,화이트/Free
01P0000207137,Free,그레이,그레이/Free
01P0000207144,Free,블랙,블랙/Free
01P0000207145,Free,블랙,블랙/Free
01P0000207148,Free,그레이,그레이/Free
01P0000207169,Free,화이트,화이트/Free
01P0000207194,Free,EDT 100ml,EDT 100ml/Free
01P0000209023,Free,화이트,화이트/Free
01P0000210038,FR,화이트,화이트/FR
01P0000210058,FR,기타,기타/FR
01P0000210059,FR,기타,기타/FR
01P0000210060,FR,기타,기타/FR
01P0000210061,FR,내츄럴,내츄럴/FR
01P0000210062,FR,내츄럴,내츄럴/FR
01P0000211741,FR,기타,기타/FR
01P0000211747,FR,기타,기타/FR
01P0000211748,FR,기타,기타/FR
01P0000211749,FR,기타,기타/FR
01P0000211750,FR,기타,기타/FR
